"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"drainagedensity",1,241332,2.54,1.59,2.49,2.48,1.52,0,37.36,37.36,1.44,13.53,0
"accumulation",2,241332,-1865.87,44956.13,17.95,39.33,20.02,-771165.91,771166.91,1542332.82,-15.54,278.64,91.51
"TWI",3,241332,7.73,3.22,8.1,8.06,1.7,-15.18,20.82,35.99,-5.58,37.24,0.01
"SPI",4,241332,-0.48,2.79,-0.22,-0.2,1.62,-19.83,8.9,28.73,-5.18,33.65,0.01
"soiltype*",5,241332,2.97,2.11,3,2.63,1.48,1,11,10,2.03,5.26,0
"soilmoisture",6,241332,28.82,15.1,31,30.6,8.9,-101,100,201,-4.17,31.8,0.03
"landcover*",7,241332,7.29,4.33,7,7.19,4.45,1,17,16,0.18,-1.18,0.01
"NDVI",8,241332,3538.48,2903.11,3676.33,3519.27,3871.09,-13316,9583,22899,-0.07,-0.85,5.91
"temperature",9,241332,14.25,12.75,17.8,15.68,12.77,-19.59,34.17,53.76,-0.73,-0.71,0.03
"precipitation",10,241332,0.11,0.1,0.08,0.09,0.07,0,2.27,2.27,3.43,31.77,0
"windspeed",11,241332,0.75,0.73,0.53,0.62,0.45,0,6.96,6.96,2.6,9.84,0
"DEM",12,241332,266.74,550.56,118.5,192.47,154.28,-5811.29,4984.69,10795.98,-2.69,52.34,1.12
"slope",13,241332,1.85,3.98,0.92,1.59,1.19,-22.87,21.87,44.75,-2.42,18.64,0.01
"aspect*",14,241332,5.18,3.15,5,5.12,4.45,1,10,9,0.02,-1.42,0.01
"plancurvature",15,241332,0,0.06,0,0,0,-1.06,0.02,1.08,-16.58,272.89,0
"procurvature",16,241332,0,0.07,0,0,0,-1.12,0.06,1.19,-16.57,272.77,0
